video_id,user_id,likes,views,comments,timestamp
1,1,40802,109833,3849,7/5/2021
2,2,45563,932483,1745,11/2/2021
3,3,43237,169419,7698,1/5/2020
4,4,15340,475795,2547,8/9/2022
5,5,63929,80943,8048,5/5/2020
6,6,12566,733048,254,9/5/2021
7,7,18372,686090,822,12/22/2020
8,8,7659,650538,9670,6/11/2021
9,9,60720,504385,509,5/21/2020
10,10,74231,877208,3112,11/7/2021
11,11,73398,495351,9102,8/1/2022
12,12,78296,12368,1022,2/20/2022
13,13,37232,655076,6184,7/4/2021
14,14,1542,7831,9956,6/6/2021
15,15,14981,221021,5569,8/10/2020
16,16,38650,46775,5958,5/1/2021
17,17,82190,850927,6336,3/27/2022
18,18,72961,589322,549,11/1/2022
19,19,25955,449801,3693,8/4/2021
20,20,42430,333564,446,4/20/2022
21,21,65760,266614,924,3/27/2020
22,22,81612,74934,1300,12/8/2020
23,23,27817,592865,7607,10/3/2021
24,24,77803,476033,553,1/6/2020
25,25,16815,48253,396,8/2/2020
26,26,35486,428017,4953,10/3/2020
27,27,59144,488690,7968,5/5/2021
28,28,88665,909830,8026,3/5/2021
29,29,44973,150358,903,3/20/2021
30,30,55,908003,6019,1/15/2020
31,31,68358,584355,8087,4/10/2020
32,32,40596,547504,2000,12/21/2022
33,33,47885,647845,8540,1/31/2021
34,34,4659,923767,1745,5/30/2021
35,35,5775,954537,2967,1/11/2020
36,36,99095,163733,7061,4/17/2021
37,37,33793,154750,4509,6/19/2020
38,38,98712,300506,9991,4/20/2022
39,39,60011,609501,534,12/23/2021
40,40,22027,824713,699,7/1/2021
41,41,69412,959886,5721,7/2/2021
42,42,64896,240436,2469,1/9/2022
43,43,40596,902940,9487,3/31/2021
44,44,34473,478723,9109,6/11/2021
45,45,12181,142890,8406,8/5/2022
46,46,79118,792437,2036,12/29/2020
47,47,53945,832305,212,2/12/2020
48,48,60081,730248,2241,10/27/2021
49,49,49743,287647,579,3/7/2021
50,50,76857,363154,7098,4/26/2022
51,51,81575,533397,2616,8/20/2022
52,52,89416,159840,4437,10/22/2020
53,53,48670,776351,7019,9/20/2022
54,54,5456,812033,7705,2/18/2020
55,55,17295,400433,1105,1/31/2021
56,56,84786,756950,6217,11/6/2022
57,57,40947,438915,7782,12/20/2022
58,58,17453,153499,4600,3/13/2021
59,59,19437,79787,5319,4/2/2020
60,60,43487,135412,6200,8/17/2020
61,61,23777,628002,4058,10/23/2020
62,62,81116,364058,1111,3/29/2020
63,63,86312,926078,6753,6/2/2020
64,64,36699,607711,2363,11/25/2020
65,65,83680,114824,4102,11/23/2022
66,66,25969,621617,9214,7/13/2022
67,67,47504,195670,2220,4/3/2020
68,68,67496,906946,5001,6/28/2022
69,69,81809,318001,6616,12/28/2020
70,70,8410,602334,2291,8/29/2020
71,71,33983,737133,7279,10/26/2021
72,72,68324,958710,4370,8/26/2020
73,73,91510,892811,8644,5/28/2022
74,74,9100,386706,8350,4/12/2020
75,75,3858,282358,8234,5/21/2022
76,76,33178,375371,9451,2/22/2022
77,77,80324,999331,3530,4/4/2021
78,78,67138,861630,6861,10/8/2022
79,79,4518,490473,2315,5/19/2021
80,80,24192,581718,9370,4/27/2021
81,81,6597,369040,2526,4/2/2020
82,82,32559,239388,765,12/5/2020
83,83,62737,981170,930,3/20/2021
84,84,62184,811962,4375,10/31/2021
85,85,76536,57174,4616,4/18/2020
86,86,75837,785519,9117,3/28/2021
87,87,2893,751418,7498,6/7/2021
88,88,85702,87716,5907,11/3/2021
89,89,74396,425238,8418,2/3/2022
90,90,77514,644513,915,4/25/2021
91,91,53478,40152,1177,10/31/2021
92,92,65797,476863,3526,9/22/2020
93,93,6272,995387,656,5/17/2020
94,94,90438,515578,9538,5/21/2021
95,95,8839,128382,8303,3/31/2021
96,96,47659,221150,8959,10/9/2021
97,97,33958,26104,1487,1/30/2020
98,98,9519,993299,5832,1/19/2022
99,99,56438,367654,1302,3/2/2020
100,100,99438,129491,1784,1/25/2021
101,101,49316,484642,3630,8/25/2020
102,102,63680,770571,8517,10/29/2021
103,103,35349,610014,7666,8/20/2020
104,104,67111,622038,5431,4/29/2020
105,105,28761,9152,8257,11/28/2022
106,106,54056,385659,7004,11/13/2022
107,107,30831,58309,7028,2/12/2021
108,108,62596,840390,974,2/9/2022
109,109,23358,771741,6918,6/21/2020
110,110,88745,928922,9188,8/24/2022
111,111,65610,303534,2785,10/1/2021
112,112,62065,316619,4110,9/20/2022
113,113,7340,828785,8706,5/11/2022
114,114,88009,979727,126,2/2/2021
115,115,5683,919411,6186,9/17/2020
116,116,34414,905375,1984,1/20/2020
117,117,25790,920418,8954,2/8/2022
118,118,172,472631,8952,4/14/2021
119,119,76014,7293,1560,10/18/2021
120,120,4608,758786,531,6/9/2021
121,121,85534,51625,5209,2/9/2021
122,122,92838,47316,8607,8/6/2021
123,123,71981,213136,7555,8/14/2020
124,124,90894,289882,9963,6/1/2022
125,125,20879,121369,6094,10/30/2021
126,126,78696,823302,9263,1/3/2022
127,127,61436,108477,7695,11/2/2021
128,128,8141,864409,3688,2/28/2022
129,129,54012,131020,4060,2/1/2021
130,130,35102,256239,6172,2/7/2021
131,131,4200,527876,3676,2/10/2022
132,132,9108,751479,8382,7/21/2020
133,133,39856,598782,6289,7/19/2020
134,134,64573,142244,6919,9/17/2022
135,135,33370,500205,7591,3/21/2020
136,136,429,393274,4110,12/26/2020
137,137,88839,773782,8785,3/30/2021
138,138,77083,866592,1432,5/30/2022
139,139,66180,383411,3429,9/26/2020
140,140,37013,765855,6094,4/7/2020
141,141,72332,74320,436,11/23/2020
142,142,57283,323918,1436,1/22/2021
143,143,76096,956326,4526,9/26/2022
144,144,70517,880391,5581,5/6/2021
145,145,62867,645826,1699,5/20/2021
146,146,96642,952027,3797,10/23/2021
147,147,24973,630775,8740,12/22/2022
148,148,2272,983740,8278,3/19/2020
149,149,83235,484938,7214,9/29/2022
150,150,99601,508184,5850,5/1/2022
151,151,99204,84818,6023,11/2/2022
152,152,77275,123301,3812,10/8/2021
153,153,67647,488670,6874,2/12/2022
154,154,10287,491455,2803,2/2/2020
155,155,94232,389310,9298,8/8/2022
156,156,32868,692663,420,2/1/2020
157,157,11237,801709,2063,9/17/2020
158,158,75633,840163,5798,2/15/2020
159,159,22164,68598,6661,5/7/2022
160,160,62000,180089,7246,6/5/2022
161,161,96372,603216,7266,4/9/2020
162,162,91862,86140,7299,11/15/2020
163,163,75600,286593,8441,7/20/2020
164,164,73942,484430,6500,1/15/2022
165,165,8822,552718,1201,5/29/2020
166,166,12588,294481,7099,4/19/2021
167,167,41189,226160,1030,11/15/2022
168,168,7956,438948,5631,4/23/2020
169,169,31763,514132,9631,2/25/2021
170,170,886,61784,1217,10/27/2021
171,171,25290,919085,7674,8/15/2021
172,172,158,235234,2507,8/27/2022
173,173,27274,467229,2139,9/21/2021
174,174,61777,299798,6304,4/12/2021
175,175,10440,889653,1146,4/30/2022
176,176,7499,18516,4132,3/11/2021
177,177,15292,742705,2275,6/17/2020
178,178,89229,436213,3393,5/26/2020
179,179,2025,444117,1671,6/10/2022
180,180,91473,350293,615,12/20/2020
181,181,51323,765891,6350,2/10/2021
182,182,89180,402242,1645,6/6/2022
183,183,40112,689742,8971,6/3/2020
184,184,5036,86845,6699,6/30/2020
185,185,47577,723886,7745,4/25/2021
186,186,76557,180902,1114,6/28/2022
187,187,48852,215108,5541,4/2/2021
188,188,7722,282085,4882,11/10/2021
189,189,88512,821006,9190,1/10/2021
190,190,1349,102279,300,12/11/2020
191,191,80337,829223,6675,9/8/2021
192,192,66294,137709,2273,1/4/2021
193,193,86317,792790,6846,3/17/2021
194,194,92119,125065,464,9/13/2020
195,195,21358,194620,6770,12/11/2020
196,196,99189,438199,3092,6/8/2021
197,197,14985,278354,6363,11/23/2022
198,198,57630,937253,5182,10/15/2021
199,199,69526,479502,8276,9/26/2022
200,200,86225,445992,1722,3/12/2021
201,201,7513,501032,8778,6/4/2022
202,202,25777,521687,4119,8/12/2021
203,203,90280,929148,9905,9/26/2021
204,204,83197,513847,7742,5/18/2020
205,205,79685,479717,3886,9/27/2020
206,206,4709,409466,1424,12/28/2020
207,207,31583,331657,2500,1/30/2020
208,208,20480,732259,3658,3/16/2020
209,209,54810,520628,88,9/11/2020
210,210,69119,227700,9706,6/17/2021
211,211,90787,265023,7091,6/19/2020
212,212,20623,924826,8262,9/3/2020
213,213,92721,519210,4851,8/24/2021
214,214,28348,145896,5037,6/9/2021
215,215,96450,613669,7357,3/30/2022
216,216,29674,888359,9761,8/31/2022
217,217,71252,255261,6716,5/10/2022
218,218,95736,447398,9787,6/11/2020
219,219,65777,508903,251,5/19/2020
220,220,49720,435256,801,5/25/2021
221,221,56127,623155,2138,1/18/2021
222,222,11853,621226,1546,8/27/2021
223,223,691,143230,3735,8/18/2021
224,224,19239,695796,5794,1/25/2022
225,225,95314,567952,7705,11/19/2021
226,226,60557,696665,20,2/17/2022
227,227,70548,408226,9868,12/6/2020
228,228,80463,653116,8221,3/1/2021
